problemType, makespan, GRASP, diff
j309_1, 423.46, 0.55, -422.90999999999997
j306_2, 1.44, 0.39, -1.0499999999999998
j3045_1, 2.15, 0.76, -1.39
j3046_6, 1.7, 0.41, -1.29
j305_5, 0.17, 0.41, 0.23999999999999996
j3043_10, 0.02, 0.41, 0.38999999999999996
j3012_1, 0.01, 0.26, 0.25
j3033_4, 0.01, 0.48, 0.47
j3025_4, 10.81, 0.55, -10.26
j3040_8, 0.01, 0.37, 0.36
j3026_3, 0.02, 0.36, 0.33999999999999997
j3017_8, 0.04, 0.4, 0.36000000000000004
j3018_10, 0.03, 0.31, 0.28
j3031_9, 0.33, 0.3, -0.030000000000000027
j307_8, 0.01, 0.24, 0.22999999999999998
j3021_7, 1.51, 0.5, -1.01
j3042_5, 0.01, 0.38, 0.37
j3027_9, 0.02, 0.35, 0.32999999999999996
j301_6, 0.04, 0.29, 0.24999999999999997
j3019_1, 0.01, 0.29, 0.27999999999999997
j3038_4, 0.02, 0.4, 0.38
j3037_7, 0.37, 0.55, 0.18000000000000005
j3016_2, 0.01, 0.25, 0.24
j3015_5, 7.57, 0.33, -7.24
j3025_10, 27.03, 0.42, -26.61
j302_1, 0.02, 0.24, 0.22
j3041_2, 0.43, 0.59, 0.15999999999999998
j3040_3, 0.01, 0.58, 0.57
j3014_4, 106.3, 0.33, -105.97
j3035_1, 0.01, 0.35, 0.33999999999999997
j3017_3, 0.01, 0.35, 0.33999999999999997
j3036_6, 0.02, 0.29, 0.26999999999999996
j3039_5, 0.01, 0.37, 0.36
j3026_8, 0.08, 0.46, 0.38
j3043_4, 0.01, 0.52, 0.51
j3044_10, 0.01, 0.42, 0.41
j3020_6, 0.01, 0.32, 0.31
j3030_8, 0.47, 0.33, -0.13999999999999996
j306_9, 0.23, 0.29, 0.05999999999999997
j3023_1, 0.01, 0.37, 0.36
j3010_8, 3.81, 0.41, -3.4
j3021_3, 0.22, 0.46, 0.24000000000000002
j3047_8, 0.01, 0.32, 0.31
j3022_4, 0.04, 0.32, 0.28
j302_5, 0.02, 0.31, 0.29
j3034_4, 0.0, 0.41, 0.41
j3015_1, 0.01, 0.31, 0.3
j3041_6, 0.2, 0.61, 0.41
j3042_1, 0.02, 0.43, 0.41
j3046_10, 1.39, 0.47, -0.9199999999999999
j3037_3, 0.4, 0.58, 0.17999999999999994
j3016_6, 0.01, 0.31, 0.3
j3019_5, 0.02, 0.29, 0.26999999999999996
j301_2, 0.11, 0.31, 0.2
j3039_1, 0.01, 0.46, 0.45
j3018_4, 0.01, 0.34, 0.33
j3017_7, 0.05, 0.37, 0.32
j3036_2, 0.01, 0.29, 0.27999999999999997
j3040_7, 0.01, 0.33, 0.32
j3027_10, 0.01, 0.38, 0.37
j303_4, 0.01, 0.43, 0.42
j3035_5, 0.02, 0.38, 0.36
j3023_5, 0.01, 0.35, 0.33999999999999997
j3046_9, 0.25, 0.33, 0.08000000000000002
j3020_2, 0.01, 0.38, 0.37
j3011_9, 0.01, 0.34, 0.33
j3023_10, 0.02, 0.34, 0.32
j3010_9, 0.01, 0.41, 0.39999999999999997
j3021_2, 1.1, 0.44, -0.6600000000000001
j3022_5, 0.14, 0.41, 0.26999999999999996
j3047_9, 0.01, 0.5, 0.49
j302_4, 0.02, 0.3, 0.27999999999999997
j3034_5, 0.02, 0.55, 0.53
j3041_7, 3.71, 0.63, -3.08
j3019_4, 0.02, 0.31, 0.29
j309_10, 64.67, 0.54, -64.13
j3038_1, 0.01, 0.57, 0.5599999999999999
j3037_2, 0.21, 2.58, 2.37
j3016_7, 0.01, 0.29, 0.27999999999999997
j301_3, 0.12, 0.33, 0.21000000000000002
j3017_6, 0.01, 0.44, 0.43
j3036_3, 0.01, 0.38, 0.37
j3018_5, 0.02, 0.33, 0.31
j3043_1, 0.14, 0.37, 0.22999999999999998
j3040_6, 0.01, 0.33, 0.32
j303_5, 0.05, 0.35, 0.3
j3014_1, 7.23, 0.32, -6.91
j3035_4, 0.01, 0.37, 0.36
j3046_8, 0.6, 0.41, -0.19
j3023_4, 0.01, 0.38, 0.37
j3042_10, 0.01, 0.49, 0.48
j3020_3, 0.01, 0.31, 0.3
j3011_8, 0.01, 0.34, 0.33
j3022_1, 0.01, 0.3, 0.29
j3040_10, 0.01, 0.32, 0.31
j3031_8, 0.04, 0.35, 0.31
j307_9, 0.03, 0.35, 0.31999999999999995
j3021_6, 0.7, 0.57, -0.13
j3027_8, 0.03, 0.39, 0.36
j3042_4, 0.37, 0.38, 0.010000000000000009
j301_7, 0.01, 0.33, 0.32
j3037_6, 0.06, 0.43, 0.37
j3016_3, 0.01, 0.25, 0.24
j3038_5, 0.04, 0.44, 0.4
j3034_1, 0.01, 0.42, 0.41
j3015_4, 0.01, 0.28, 0.27
j3038_10, 0.03, 0.38, 0.35
j3041_3, 0.21, 0.55, 0.3400000000000001
j3040_2, 0.01, 0.36, 0.35
j3014_5, 0.2, 0.33, 0.13
j303_1, 0.01, 0.34, 0.33
j3039_4, 0.02, 0.35, 0.32999999999999996
j3018_1, 0.01, 0.32, 0.31
j3017_2, 0.02, 0.35, 0.32999999999999996
j3036_7, 0.02, 0.33, 0.31
j3043_5, 0.46, 0.45, -0.010000000000000009
j3026_9, 0.29, 0.29, 0.0
j3020_7, 0.01, 0.25, 0.24
j3030_9, 2.11, 0.35, -1.7599999999999998
j3021_10, 0.9, 0.44, -0.46
j306_8, 0.36, 0.29, -0.07
