projectName, alpha, makespan, duration;
j6032_2,100,RND,115,1.21
j6032_2,200,RND,115,2.42
j6013_7,100,RND,97,1.08
j6013_7,200,RND,93,2.15
j6028_10,100,RND,75,0.93
j6028_10,200,RND,75,1.84
j6048_3,100,RND,85,1.1
j6048_3,200,RND,85,2.21
j601_1,100,RND,79,0.89
j601_1,200,RND,81,1.79
j6039_2,100,RND,85,1.1
j6039_2,200,RND,85,2.21
j6018_7,100,RND,95,1.11
j6018_7,200,RND,95,2.24
j6017_4,100,RND,74,1.06
j6017_4,200,RND,74,2.1
j6036_1,100,RND,62,0.9
j6036_1,200,RND,62,1.81
j6043_3,100,RND,75,1.02
j6043_3,200,RND,75,2.05
j6040_4,100,RND,88,1.12
j6040_4,200,RND,88,2.24
j6025_8,100,RND,103,1.5
j6025_8,200,RND,108,2.99
j6014_3,100,RND,66,0.84
j6014_3,200,RND,66,1.67
j6035_6,100,RND,80,1.12
j6035_6,200,RND,80,2.26
j602_6,100,RND,67,0.88
j602_6,200,RND,66,1.75
j603_10,100,RND,69,0.81
j603_10,200,RND,69,1.6
j604_8,100,RND,66,0.86
j604_8,200,RND,66,1.73
j6033_8,100,RND,81,1.17
j6033_8,200,RND,80,2.34
j6036_10,100,RND,78,1.11
j6036_10,200,RND,78,2.22
j6023_6,100,RND,82,1.01
j6023_6,200,RND,83,2.02
j6020_1,100,RND,61,0.83
j6020_1,200,RND,61,1.64
j6012_10,100,RND,80,0.82
j6012_10,200,RND,80,1.64
j6022_7,100,RND,70,0.97
j6022_7,200,RND,70,1.92
j6048_8,100,RND,89,1.16
j6048_8,200,RND,89,2.33
j605_9,100,RND,99,1.05
j605_9,200,RND,102,2.1
j6032_9,100,RND,75,0.85
j6032_9,200,RND,75,1.71
j6034_7,100,RND,84,1.18
j6034_7,200,RND,84,2.35
j6015_2,100,RND,90,0.93
j6015_2,200,RND,90,1.85
j603_7,100,RND,59,0.76
j603_7,200,RND,59,1.52
j6024_9,100,RND,81,0.95
j6024_9,200,RND,81,1.91
j6041_5,100,RND,121,1.76
j6041_5,200,RND,122,3.51
j6042_2,100,RND,69,1.09
j6042_2,200,RND,69,2.17
j6016_5,100,RND,67,0.89
